sample_index,timestamp,bearing_1_rms,bearing_1_peak,bearing_2_rms,bearing_2_peak,bearing_3_rms,bearing_3_peak,bearing_4_rms,bearing_4_peak,hours_from_start,bearing_1_threshold,bearing_1_anomaly_flag,bearing_2_threshold,bearing_2_anomaly_flag,bearing_3_threshold,bearing_3_anomaly_flag,bearing_4_threshold,bearing_4_anomaly_flag,any_anomaly_flag,anomaly_status
1,2004-02-12 10:32:39,0.07417899856512623,0.454,0.09094388696428075,0.513,0.10940413919878957,1.023,0.05410346803954669,0.264,0.0,0.09565685203420095,False,0.10202421829022722,False,0.11539199646474478,False,0.06035258379661236,False,False,Normal
2,2004-02-12 10:42:39,0.07538245681139528,0.388,0.09341888819652586,0.481,0.10981733168262023,0.752,0.05610085870694182,0.249,0.17,0.09565685203420095,False,0.10202421829022722,False,0.11539199646474478,False,0.06035258379661236,False,False,Normal
3,2004-02-12 10:52:39,0.07622977446919937,0.503,0.0937178978891739,0.503,0.10986104971344769,0.933,0.0561452192491155,0.354,0.33,0.09565685203420095,False,0.10202421829022722,False,0.11539199646474478,False,0.06035258379661236,False,False,Normal
4,2004-02-12 11:02:39,0.07872367646602975,0.608,0.09294709910708282,0.569,0.11066653439923697,1.016,0.05680743024340545,0.525,0.5,0.09565685203420095,False,0.10202421829022722,False,0.11539199646474478,False,0.06035258379661236,False,False,Normal
5,2004-02-12 11:12:39,0.07847429073677968,0.391,0.09534796855424806,0.486,0.1075055998723148,0.771,0.05684094146786386,0.244,0.67,0.09565685203420095,False,0.10202421829022722,False,0.11539199646474478,False,0.06035258379661236,False,False,Normal
6,2004-02-12 11:22:39,0.07831464139380724,0.439,0.09240471945595839,0.574,0.11051722747318346,0.862,0.05556592676089255,0.247,0.83,0.09565685203420095,False,0.10202421829022722,False,0.11539199646474478,False,0.06035258379661236,False,False,Normal
7,2004-02-12 11:32:39,0.07863244325857172,0.408,0.09391848531980072,0.583,0.10738791213109138,0.896,0.05627907668624504,0.239,1.0,0.09565685203420095,False,0.10202421829022722,False,0.11539199646474478,False,0.06035258379661236,False,False,Normal
8,2004-02-12 11:42:39,0.07777288022464836,0.415,0.09324051612714428,0.41,0.10623263552958902,0.776,0.05550468422307368,0.229,1.17,0.09565685203420095,False,0.10202421829022722,False,0.11539199646474478,False,0.06035258379661236,False,False,Normal
9,2004-02-12 11:52:39,0.07902942984262255,0.386,0.09585924383650357,0.613,0.11058641872246056,0.967,0.05585509861253156,0.33,1.33,0.09565685203420095,False,0.10202421829022722,False,0.11539199646474478,False,0.06035258379661236,False,False,Normal
10,2004-02-12 12:02:39,0.07571755989830316,0.378,0.09474187125009063,0.466,0.10977074854590418,0.781,0.0554596132439803,0.291,1.5,0.09565685203420095,False,0.10202421829022722,False,0.11539199646474478,False,0.06035258379661236,False,False,Normal
11,2004-02-12 12:12:39,0.07924111648011797,0.415,0.09514610526793123,0.4,0.10602371468766728,0.61,0.05552349455199686,0.291,1.67,0.09565685203420095,False,0.10202421829022722,False,0.11539199646474478,False,0.06035258379661236,False,False,Normal
12,2004-02-12 12:22:39,0.077638908086269,0.474,0.09332906725625129,0.415,0.10460412281437871,0.867,0.054774163029177134,0.276,1.83,0.09565685203420095,False,0.10202421829022722,False,0.11539199646474478,False,0.06035258379661236,False,False,Normal
13,2004-02-12 12:32:39,0.07740458087623109,0.4,0.09438051851622042,0.615,0.10442234914975398,0.615,0.05468983164672273,0.234,2.0,0.09565685203420095,False,0.10202421829022722,False,0.11539199646474478,False,0.06035258379661236,False,False,Normal
